model,iteration,s2_mean_distance,s2_effective_dim,s2_mean_similarity,success_S1->S2,success_S2->S3,success_S1->S3
original,5000,12.8543215,6,0.8536194,1.0,1.0,0.88
original,10000,24.763102,6,0.88650465,1.0,1.0,0.82
original,15000,30.72451,7,0.91155773,1.0,1.0,0.76
original,20000,35.0937,7,0.87823766,1.0,1.0,0.76
original,25000,37.901184,7,0.89671886,1.0,1.0,0.76
original,30000,38.412773,7,0.9130503,1.0,1.0,0.7
original,35000,38.241055,7,0.90021735,1.0,1.0,0.42
original,40000,39.13317,8,0.90009564,1.0,1.0,0.48
original,45000,38.82888,7,0.9032162,1.0,1.0,0.4
original,50000,37.762596,7,0.9019966,1.0,1.0,0.3
5% mixed,5000,10.8071375,6,0.8991873,1.0,1.0,0.82
5% mixed,10000,20.858612,7,0.90112144,1.0,1.0,0.82
5% mixed,15000,27.731829,7,0.90550673,1.0,1.0,0.62
5% mixed,20000,32.485703,7,0.90126896,1.0,1.0,0.74
5% mixed,25000,31.969204,7,0.9226561,1.0,1.0,0.72
5% mixed,30000,32.370964,8,0.9218914,1.0,1.0,0.82
5% mixed,35000,32.39198,8,0.92592,1.0,1.0,0.84
5% mixed,40000,32.780186,8,0.92876935,1.0,1.0,0.82
5% mixed,45000,31.890545,8,0.925245,1.0,1.0,0.84
5% mixed,50000,31.263191,8,0.9268124,1.0,1.0,0.88
10% mixed,5000,9.985419,7,0.9060783,1.0,1.0,0.94
10% mixed,10000,19.010561,7,0.89571714,1.0,1.0,0.86
10% mixed,15000,25.42392,7,0.89182425,1.0,1.0,0.88
10% mixed,20000,28.59872,7,0.8986659,1.0,1.0,0.8
10% mixed,25000,30.325968,8,0.9000469,1.0,1.0,0.88
10% mixed,30000,30.775122,8,0.9096676,1.0,1.0,0.9
10% mixed,35000,30.842491,8,0.90734655,1.0,1.0,0.9
10% mixed,40000,30.620848,8,0.9182538,1.0,1.0,0.9
10% mixed,45000,31.038074,8,0.9127019,1.0,1.0,0.9
10% mixed,50000,31.44493,8,0.90686756,1.0,1.0,0.88
