dim_idx,singular_value_1,singular_value_2,best_match_idx,angle_to_best_match,similarity,energy_ratio_1,energy_ratio_2,energy_ratio_change
0,4.0265408,3.5392206,0,25.471794973197277,0.9027971,0.12083988852047109,0.09825577649652464,-0.022584112023946445
1,3.0066707,2.9173648,1,32.98737100905099,0.8387906,0.0673779591087907,0.06676122866057281,-0.0006167304482178892
2,2.819241,2.395578,2,32.224303743233136,0.84596705,0.059239384442027906,0.04501564025915897,-0.014223744182868939
3,2.0669026,1.9535475,3,24.750083090731778,0.90814257,0.03184096021927901,0.029935793469425664,-0.0019051667498533494
4,1.9088738,1.824513,5,51.586906031479245,0.62132686,0.027158172966960024,0.026111795599217582,-0.0010463773677424418
5,1.8521756,1.8292733,4,47.37217718908704,0.67723334,0.02556880502448599,0.0262482312962747,0.0006794262717887099
6,1.8188646,1.7511134,6,55.6968508404487,0.56357145,0.024657375594086855,0.024053118064719957,-0.0006042575293668979
7,1.7997302,1.7375708,7,56.23895394952968,0.5557305,0.024141314679053262,0.02368251567845408,-0.0004587990005991832
8,1.7517292,1.6663307,9,61.071310545558624,0.4837207,0.02287073284186541,0.021780368427413162,-0.0010903644144522467
9,1.7180244,1.6417289,11,53.97033200795649,0.5882041,0.02199909214247274,0.021141982447062068,-0.0008571096954106718
