model,iteration,n_clusters,s2_usage_ratio,normalized_entropy,gini_coefficient,path_success_rate,s1_biased_nodes,s3_biased_nodes,neutral_nodes,extreme_bias_ratio
original,5000,4,0.8333333333333334,0.8704651994671985,0.40039800995024866,0.78,0,30,0,1.0
original,15000,4,0.8333333333333334,0.8642128297171894,0.4091666666666667,0.705,0,30,0,1.0
original,25000,4,0.9,0.8487249815591713,0.4914689970869748,0.685,0,30,0,1.0
original,35000,4,0.8,0.8610763740191656,0.3902671755725191,0.495,0,30,0,1.0
original,50000,4,0.8,0.8743519348274018,0.353494623655914,0.26,0,30,0,1.0
5% mixed,5000,4,0.7666666666666667,0.8479389111426613,0.38835333464489485,0.87,0,30,0,1.0
5% mixed,15000,4,0.8333333333333334,0.8502110120484784,0.4416,0.8,0,30,0,1.0
5% mixed,25000,4,0.8,0.862740281630379,0.3762820512820513,0.785,0,30,0,1.0
5% mixed,35000,4,0.8,0.8468455912554091,0.42464539007092195,0.8,0,30,0,1.0
5% mixed,50000,4,0.8666666666666667,0.8471950524845744,0.4629937629937628,0.83,0,30,0,1.0
10% mixed,5000,4,0.8666666666666667,0.8554050024713151,0.45919104369808594,0.91,0,30,0,1.0
10% mixed,15000,4,0.8,0.8325300255146754,0.45740223463687135,0.805,0,30,0,1.0
10% mixed,25000,4,0.8333333333333334,0.8687648446375158,0.3975460122699386,0.73,0,30,0,1.0
10% mixed,35000,4,0.9333333333333333,0.9036956510651508,0.39819759679572764,0.885,0,30,0,1.0
10% mixed,50000,4,0.8333333333333334,0.8770899583909794,0.3820895522388059,0.895,0,30,0,1.0
