test,stage,ckpt_0,ckpt_20,row_similarity,col_similarity,row_singular_values,col_singular_values,row_diff_rank,col_diff_rank,row_diff_frobenius,col_diff_frobenius,diff_singular_values,effective_new_dims,grassmann_distance,coverage_2in1,coverage_1in2,spectral_distance,principal_angles,principal_angles_degrees,er1,er2,er_diff
mixed_effect,"Initial, ER≈73.5","(0, 42, 3000)","(20, 42, 9000)",1.0000005,1.0000006,"[1.0000005 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004 1.0000002
 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002
 1.0000002 1.        1.        1.        1.        1.       ]","[1.0000006  1.0000004  1.0000004  1.0000002  1.0000002  1.0000001
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         0.99999994]",0,28,8.723191e-06,3.000397,"[0.97714865 0.9733593  0.9190827  0.86370647 0.8289805  0.76540905
 0.748522   0.72346324 0.707082   0.6071835  0.57632256 0.53393286
 0.5111393  0.45443296 0.43456545 0.41614905 0.3583345  0.3454974
 0.32222307 0.3049246 ]",28,3.0452573,0.902147977756885,0.902147977756885,0.9136913,"[1.4755561  1.2561798  1.1137428  0.9628122  0.7451919  0.69146395
 0.62533563 0.5934245  0.55795693 0.5151064  0.45412982 0.4427492
 0.40899456 0.35270408 0.28443363 0.26001534 0.22348347 0.21078284
 0.19023283 0.15689269]","[84.54314  71.9738   63.81276  55.165073 42.696346 39.61796  35.82909
 34.000717 31.968576 29.51342  26.01972  25.367659 23.43366  20.208454
 16.296846 14.89778  12.804659 12.076966 10.899538  8.989288]",73.674934,73.84438,0.16944885
mixed_effect,"Initial, ER≈73.5","(0, 123, 3000)","(20, 123, 11000)",1.0000005,1.0000002,"[1.0000005 1.0000005 1.0000004 1.0000004 1.0000004 1.0000002 1.0000002
 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002
 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002]","[1.0000002  1.0000002  1.0000002  1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.99999994 0.99999994 0.99999994
 0.99999994 0.99999994]",0,28,8.340914e-06,3.048512,"[0.9987214  0.9428611  0.9308251  0.9064534  0.83117247 0.7859193
 0.7688292  0.69544977 0.692846   0.6310636  0.62108517 0.5313021
 0.4923689  0.46032524 0.44668278 0.43198207 0.39680785 0.37706217
 0.3503795  0.31589097]",28,3.2774293,0.8989846301159232,0.8989842628047068,1.1825768,"[1.5707964  1.3298268  1.1912682  1.0911465  0.8430366  0.7255815
 0.6869638  0.6502806  0.56821287 0.51032144 0.5017704  0.4290112
 0.39728758 0.37850893 0.35552776 0.32315496 0.27830487 0.26053813
 0.20856032 0.15535398]","[90.       76.19346  68.25464  62.518085 48.302437 41.572758 39.360123
 37.25833  32.5562   29.239264 28.749323 24.58053  22.7629   21.686962
 20.37024  18.515413 15.945694 14.927734 11.949625  8.901127]",73.46823,72.9329,-0.5353317
mixed_effect,"Initial, ER≈73.5","(0, 456, 3000)","(20, 456, 10000)",1.0000001,1.0000005,"[1.0000001  1.0000001  1.0000001  1.0000001  1.0000001  1.0000001
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.99999994 0.99999994 0.99999994
 0.99999994 0.99999994]","[1.0000005 1.0000005 1.0000005 1.0000004 1.0000004 1.0000004 1.0000004
 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002
 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002]",0,28,8.796566e-06,3.0065875,"[0.99226665 0.9721676  0.8914395  0.8754679  0.80315137 0.767564
 0.7105168  0.66225046 0.64301986 0.6102138  0.58642685 0.5359855
 0.50783116 0.49424183 0.4701922  0.42354366 0.392884   0.37266502
 0.35877946 0.35825703]",28,3.2159817,0.9017442076680416,0.9017438395189455,1.1108319,"[1.54956    1.3161652  1.131052   1.1043861  0.754353   0.7187573
 0.66349524 0.60097486 0.5684017  0.53603613 0.4899103  0.44502077
 0.41325897 0.37150994 0.3439046  0.33927357 0.30003905 0.26430896
 0.23298074 0.13525294]","[88.78324  75.410706 64.804504 63.276657 43.22124  41.181755 38.015476
 34.433323 32.567017 30.712606 28.069792 25.49781  23.677994 21.28595
 19.704283 19.438942 17.190971 15.143787 13.348812  7.749422]",73.40958,72.99427,-0.4153061
mixed_effect,"Middle, ER≈69.0","(0, 42, 9000)","(20, 42, 26000)",1.0000005,1.0000006,"[1.0000005 1.0000005 1.0000005 1.0000004 1.0000004 1.0000004 1.0000004
 1.0000004 1.0000004 1.0000004 1.0000004 1.0000002 1.0000002 1.0000002
 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002]","[1.0000006 1.0000005 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004
 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002
 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002]",0,28,8.655095e-06,3.220483,"[0.9997813  0.99155545 0.9820561  0.92417675 0.90672195 0.85481757
 0.82402045 0.7667937  0.7293105  0.6442286  0.62972325 0.57799304
 0.53769547 0.5009795  0.48367652 0.45761478 0.41352934 0.39115545
 0.38255942 0.3280687 ]",28,3.5610576,0.8872666042274773,0.8872660640421312,0.49574316,"[1.4960536  1.3755322  1.242353   1.1779276  1.0319166  0.93759584
 0.77260363 0.74553007 0.7041934  0.6137944  0.5482137  0.5343584
 0.47762764 0.43750677 0.42207897 0.39036483 0.3264549  0.29199532
 0.25812662 0.23663   ]","[85.71755  78.81218  71.18158  67.49028  59.124462 53.720284 44.266926
 42.715725 40.34731  35.167828 31.41033  30.616478 27.366047 25.06729
 24.183342 22.366255 18.704487 16.730099 14.789565 13.557899]",70.404396,69.138626,-1.26577
mixed_effect,"Middle, ER≈69.0","(0, 123, 14000)","(20, 123, 29000)",1.0000004,1.0000005,"[1.0000004 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004
 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004 1.0000001 1.0000001
 1.0000001 1.0000001 1.0000001 1.0000001 1.0000001 1.0000001]","[1.0000005 1.0000005 1.0000005 1.0000005 1.0000005 1.0000004 1.0000004
 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004
 1.0000004 1.0000004 1.0000002 1.0000002 1.0000002 1.0000002]",0,28,8.16154e-06,3.307597,"[0.9976988  0.99229616 0.93020916 0.8829888  0.8827818  0.8180114
 0.803658   0.7919682  0.756433   0.6942722  0.6411869  0.62436444
 0.59437364 0.5801413  0.5384546  0.52942777 0.47166443 0.46004978
 0.41399884 0.3908307 ]",28,3.4941037,0.8810849305432495,0.8810849305432495,0.3034886,"[1.5677083  1.2606657  1.1485046  1.0146077  1.0026311  0.9047995
 0.80331826 0.7337056  0.6739252  0.615301   0.5956995  0.56955814
 0.5478431  0.48639196 0.439335   0.39003074 0.3742627  0.3515602
 0.28873697 0.25455397]","[89.82306   72.23082   65.80447   58.132732  57.446526  51.84119
 46.026745  42.03823   38.613068  35.25415   34.131065  32.633278
 31.389095  27.868204  25.172039  22.347115  21.443672  20.142916
 16.54341   14.5848675]",69.98508,69.77505,-0.2100296
mixed_effect,"Middle, ER≈69.0","(0, 456, 19000)","(20, 456, 29000)",1.0000006,1.0000005,"[1.0000006 1.0000005 1.0000005 1.0000005 1.0000004 1.0000004 1.0000004
 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002
 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002]","[1.0000005 1.0000004 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002
 1.0000002 1.0000002 1.0000002 1.0000001 1.        1.        1.
 1.        1.        1.        1.        1.        1.       ]",0,28,8.250503e-06,3.3645563,"[0.99999964 0.9664615  0.94909966 0.8981483  0.8946174  0.87271816
 0.83239335 0.80012333 0.7769448  0.7512161  0.688093   0.6337782
 0.592399   0.54900086 0.5159085  0.5121089  0.4866742  0.46136656
 0.42082733 0.4110774 ]",28,3.6835635,0.8769538197849405,0.8769540060041761,0.3869352,"[1.4536778  1.3262562  1.2652168  1.1037695  1.0727139  1.0117664
 0.8997893  0.80248034 0.798848   0.70809895 0.6268456  0.5926198
 0.50665027 0.50393385 0.48534495 0.4086805  0.3806171  0.35107213
 0.3191587  0.28730002]","[83.2896   75.98888  72.49158  63.241333 61.46197  57.969944 51.554127
 45.978733 45.770615 40.57108  35.915604 33.95461  29.028921 28.873281
 27.808216 23.415667 21.807753 20.11495  18.286446 16.461079]",69.08869,69.21506,0.12636566
mixed_effect,"Final, iter=50000","(0, 42, 50000)","(20, 42, 50000)",1.0000005,1.0000004,"[1.0000005 1.0000004 1.0000004 1.0000002 1.0000002 1.0000002 1.0000002
 1.0000002 1.0000002 1.0000002 1.0000002 1.        1.        1.
 1.        1.        1.        1.        1.        1.       ]","[1.0000004 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004
 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004
 1.0000001 1.0000001 1.0000001 1.0000001 1.0000001 1.0000001]",0,28,8.124962e-06,3.5543551,"[0.9997895  0.9973899  0.98247576 0.9518454  0.9094253  0.89531004
 0.86574316 0.8045019  0.7927508  0.7232241  0.69015986 0.68639404
 0.66783774 0.6239427  0.60359126 0.58242357 0.56060004 0.53630245
 0.5152527  0.4817527 ]",28,4.142144,0.862679832083403,0.8626800167808959,0.20390864,"[1.5313154  1.4783866  1.4333491  1.2248843  1.1379982  1.0462567
 0.9522909  0.9362892  0.9083215  0.8126479  0.7698146  0.76360387
 0.6822983  0.6411903  0.5687324  0.5296933  0.5195089  0.46291858
 0.41616592 0.31554502]","[87.73791  84.70531  82.124855 70.180695 65.20249  59.946087 54.562244
 53.645416 52.042984 46.56129  44.107124 43.751278 39.09281  36.737495
 32.585964 30.34919  29.765665 26.52328  23.84455  18.079397]",61.66891,68.5018,6.8328896
mixed_effect,"Final, iter=50000","(0, 123, 50000)","(20, 123, 50000)",1.0000004,1.0000006,"[1.0000004 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004
 1.0000004 1.0000004 1.0000004 1.0000004 1.0000001 1.0000001 1.0000001
 1.0000001 1.0000001 1.0000001 1.0000001 1.0000001 1.0000001]","[1.0000006 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004
 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002
 1.0000002 1.        1.        1.        1.        1.       ]",0,28,8.662977e-06,3.581788,"[0.998673   0.9862986  0.9544515  0.9449246  0.9238733  0.87488097
 0.8625567  0.85256284 0.8290213  0.8105357  0.72609264 0.6865257
 0.67065716 0.65000236 0.61749357 0.6031384  0.5310789  0.5147173
 0.49456924 0.45024532]",28,4.1763983,0.8605519666167374,0.8605523222112504,0.1331863,"[1.520258   1.4824967  1.3955857  1.2073303  1.1474514  1.0588813
 0.9995152  0.937137   0.9007009  0.8206385  0.78858507 0.74964905
 0.7385565  0.6864196  0.6146707  0.5968529  0.497466   0.45456785
 0.4278065  0.39562714]","[87.10436  84.9408   79.96117  69.17493  65.74412  60.669426 57.267998
 53.693993 51.606358 47.01912  45.182594 42.951725 42.31617  39.328945
 35.218033 34.19715  28.5027   26.044817 24.511505 22.667765]",64.04747,67.59934,3.5518723
mixed_effect,"Final, iter=50000","(0, 456, 50000)","(20, 456, 50000)",1.0000005,1.0000006,"[1.0000005 1.0000004 1.0000004 1.0000004 1.0000004 1.0000004 1.0000002
 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002
 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002]","[1.0000006 1.0000005 1.0000005 1.0000004 1.0000004 1.0000004 1.0000004
 1.0000004 1.0000004 1.0000004 1.0000002 1.0000002 1.0000002 1.0000002
 1.0000002 1.0000002 1.0000002 1.0000002 1.0000002 1.       ]",0,28,8.288219e-06,3.598591,"[0.9998967  0.9683077  0.938166   0.92575306 0.91869617 0.90760565
 0.858051   0.8455732  0.8184785  0.8143166  0.72695655 0.6783843
 0.6738111  0.65526104 0.6294269  0.59494495 0.54080737 0.53481
 0.5121892  0.4854989 ]",28,4.231601,0.8592408744793283,0.8592407036151517,0.1556532,"[1.5610735  1.43292    1.3799621  1.2738107  1.227322   1.1622666
 1.053705   0.9914022  0.8769004  0.8421509  0.8241596  0.73064625
 0.65422887 0.6227108  0.5842017  0.5361085  0.5317682  0.43657166
 0.42491737 0.3864233 ]","[89.44292  82.100266 79.066    72.98398  70.320366 66.592964 60.372845
 56.803158 50.242687 48.25169  47.220867 41.862946 37.48455  35.6787
 33.47229  30.716753 30.468073 25.013712 24.34597  22.140423]",63.976936,67.657555,3.6806183
